cod_distrito,cod_concelho,nome_concelho
01,06,Castelo de Paiva
01,07,Espinho
01,08,Estarreja
01,09,Santa Maria da Feira
01,10,Ílhavo
01,11,Mealhada
01,12,Murtosa
01,13,Oliveira de Azeméis
01,14,Oliveira do Bairro
01,15,Ovar
01,16,São João da Madeira
01,17,Sever do Vouga
01,18,Vagos
01,19,Vale de Cambra
01,01,Águeda
01,02,Albergaria-a-Velha
01,03,Anadia
01,04,Arouca
01,05,Aveiro
02,06,Castro Verde
02,07,Cuba
02,08,Ferreira do Alentejo
02,09,Mértola
02,10,Moura
02,11,Odemira
02,12,Ourique
02,13,Serpa
02,14,Vidigueira
02,01,Aljustrel
02,02,Almodôvar
02,03,Alvito
02,04,Barrancos
02,05,Beja
03,06,Esposende
03,07,Fafe
03,08,Guimarães
03,09,Póvoa de Lanhoso
03,10,Terras de Bouro
03,11,Vieira do Minho
03,12,Vila Nova de Famalicão
03,13,Vila Verde
03,14,Vizela
03,01,Amares
03,02,Barcelos
03,03,Braga
03,04,Cabeceiras de Basto
03,05,Celorico de Basto
04,06,Miranda do Douro
04,07,Mirandela
04,08,Mogadouro
04,09,Torre de Moncorvo
04,10,Vila Flor
04,11,Vimioso
04,12,Vinhais
04,01,Alfândega da Fé
04,02,Bragança
04,03,Carrazeda de Ansiães
04,04,Freixo de Espada à Cinta
04,05,Macedo de Cavaleiros
05,06,Oleiros
05,07,Penamacor
05,08,Proença-a-Nova
05,09,Sertã
05,10,Vila de Rei
05,11,Vila Velha de Ródão
05,01,Belmonte
05,02,Castelo Branco
05,03,Covilhã
05,04,Fundão
05,05,Idanha-a-Nova
06,06,Góis
06,07,Lousã
06,08,Mira
06,09,Miranda do Corvo
06,10,Montemor-o-Velho
06,11,Oliveira do Hospital
06,12,Pampilhosa da Serra
06,13,Penacova
06,14,Penela
06,15,Soure
06,16,Tábua
06,17,Vila Nova de Poiares
06,01,Arganil
06,02,Cantanhede
06,03,Coimbra
06,04,Condeixa-a-Nova
06,05,Figueira da Foz
07,06,Montemor-o-Novo
07,07,Mora
07,08,Mourão
07,09,Portel
07,10,Redondo
07,11,Reguengos de Monsaraz
07,12,Vendas Novas
07,13,Viana do Alentejo
07,14,Vila Viçosa
07,01,Alandroal
07,02,Arraiolos
07,03,Borba
07,04,Estremoz
07,05,Évora
08,06,Lagoa (Algarve)
08,07,Lagos
08,08,Loulé
08,09,Monchique
08,10,Olhão
08,11,Portimão
08,12,São Brás de Alportel
08,13,Silves
08,14,Tavira
08,15,Vila do Bispo
08,16,Vila Real de Santo António
08,01,Albufeira
